City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Alofi,NU,2021-07-23 01:39:23,-19.0595,-169.9187,80.49,78,75,10.36
159,Waipawa,NZ,2021-07-23 01:34:51,-41.4122,175.5153,52.45,63,22,3.96
160,Strezhevoy,RU,2021-07-23 01:39:24,60.7333,77.5889,67.98,79,100,10.29
161,Cherskiy,RU,2021-07-23 01:38:38,68.75,161.3,63.48,64,100,4.45
162,Chokurdakh,RU,2021-07-23 01:39:24,70.6333,147.9167,54.72,46,1,8.59
163,Verkhnyaya Inta,RU,2021-07-23 01:39:24,65.9811,60.3094,54.32,57,6,7.23
164,Victoria,HK,2021-07-23 01:39:25,22.2855,114.1577,90.32,79,64,1.99
165,Tagusao,PH,2021-07-23 01:39:25,9.1924,117.8141,86.43,67,100,18.86
166,Sistranda,NO,2021-07-23 01:39:25,63.7256,8.834,53.91,86,100,13.67
167,Bahia Blanca,AR,2021-07-23 01:39:26,-38.7196,-62.2724,55.74,52,58,10.42
168,Marsabit,KE,2021-07-23 01:39:26,2.3284,37.9899,60.06,83,49,15.9
169,Sorland,NO,2021-07-23 01:36:46,67.667,12.6934,49.78,75,100,11.61
170,Nanortalik,GL,2021-07-23 01:38:18,60.1432,-45.2371,43.77,93,99,6.51
171,Saldanha,ZA,2021-07-23 01:35:13,-33.0117,17.9442,37.45,72,0,9.4
172,Shingu,JP,2021-07-23 01:39:27,33.7333,135.9833,85.19,77,100,7.49
173,Tiksi,RU,2021-07-23 01:39:27,71.6872,128.8694,46.54,77,100,9.73
174,Serebryansk,KZ,2021-07-23 01:39:28,49.6925,83.2892,67.55,83,100,1.21
175,Axim,GH,2021-07-23 01:39:28,4.8699,-2.2405,75.09,86,53,9.48
176,Uthal,PK,2021-07-23 01:39:28,25.8072,66.6219,83.95,83,62,2.95
177,Mayo,US,2021-07-23 01:39:29,38.8876,-76.5119,75.61,75,1,1.01
178,Socorro,US,2021-07-23 01:39:29,31.6546,-106.3033,92.3,24,75,5.75
179,Gat,IL,2021-07-23 01:36:00,31.61,34.7642,76.41,100,61,5.14
180,Hercegszanto,HU,2021-07-23 01:39:30,45.95,18.9392,58.93,61,4,2.44
181,Vardo,NO,2021-07-23 01:39:30,70.3705,31.1107,45.27,79,100,30.4
182,Panzhihua,CN,2021-07-23 01:39:31,26.5851,101.7128,77.99,73,55,0.94
183,Praia Da Vitoria,PT,2021-07-23 01:39:31,38.7333,-27.0667,68.25,77,20,9.06
184,Chuy,UY,2021-07-23 01:39:32,-33.6971,-53.4616,49.95,78,95,6.08
185,Saint-Louis,SN,2021-07-23 01:39:32,16.3333,-15.0,74.44,69,22,14.52
186,Amursk,RU,2021-07-23 01:39:32,50.2261,136.8994,85.98,63,84,7.65
187,Coffs Harbour,AU,2021-07-23 01:39:33,-30.3,153.1333,63.14,57,96,17.27
188,Conceicao Da Barra,BR,2021-07-23 01:39:33,-18.5933,-39.7322,66.78,75,24,5.59
189,Yazd,IR,2021-07-23 01:39:33,31.8972,54.3675,84.31,17,40,4.61
190,Olafsvik,IS,2021-07-23 01:38:19,64.8945,-23.7142,52.16,97,100,11.5
191,High Level,CA,2021-07-23 01:35:33,58.5169,-117.136,59.11,94,90,5.75
192,Jalu,LY,2021-07-23 01:39:34,29.0331,21.5482,77.85,62,0,15.39
193,Cidreira,BR,2021-07-23 01:39:34,-30.1811,-50.2056,58.3,87,51,14.85
194,Polo,PH,2021-07-23 01:39:35,9.4822,123.1822,85.57,71,100,13.98
195,Coihaique,CL,2021-07-23 01:39:35,-45.5752,-72.0662,42.75,56,20,3.44
196,Bonavista,CA,2021-07-23 01:39:35,48.6499,-53.1147,52.12,94,96,9.6
197,Mnogovershinnyy,RU,2021-07-23 01:39:36,53.9353,139.9242,81.32,47,33,1.92
198,Najran,SA,2021-07-23 01:39:36,17.4924,44.1277,70.45,55,100,15.43
199,Henties Bay,NA,2021-07-23 01:39:36,-22.116,14.2845,55.78,73,0,3.65
200,Mecca,SA,2021-07-23 01:39:37,21.4267,39.8261,84.6,52,99,4.85
201,Vicosa Do Ceara,BR,2021-07-23 01:39:37,-3.5622,-41.0922,68.72,61,9,3.44
202,Batagay-Alyta,RU,2021-07-23 01:36:11,67.8006,130.4114,71.13,37,45,6.82
203,Meulaboh,ID,2021-07-23 01:39:38,4.1363,96.1285,80.94,76,47,2.06
204,Zarubino,RU,2021-07-23 01:39:38,42.63,131.0922,82.36,74,64,4.27
205,Aktash,RU,2021-07-23 01:39:38,50.3,87.7333,53.94,77,100,3.36
206,Tasiilaq,GL,2021-07-23 01:39:39,65.6145,-37.6368,42.96,97,100,2.53
207,Katangli,RU,2021-07-23 01:39:39,51.7102,143.2326,74.7,77,91,1.77
208,Vila Velha,BR,2021-07-23 01:39:39,-20.3297,-40.2925,64.35,94,40,3.44
209,Solnechnyy,RU,2021-07-23 01:39:40,50.7214,136.6319,90.14,50,39,5.26
210,Coahuayana,MX,2021-07-23 01:39:40,18.7333,-103.6833,83.68,85,98,0.36
211,Ponta Delgada,PT,2021-07-23 01:39:41,37.7333,-25.6667,65.12,82,75,4.61
212,Muisne,EC,2021-07-23 01:39:41,0.6,-80.0333,76.26,81,100,9.86
213,Banda Aceh,ID,2021-07-23 01:39:42,5.5577,95.3222,83.79,71,100,14.76
214,Tabuk,PH,2021-07-23 01:39:42,17.4189,121.4443,86.0,68,100,3.67
215,La Ronge,CA,2021-07-23 01:39:43,55.1001,-105.2842,77.25,41,40,6.91
216,Kirakira,SB,2021-07-23 01:39:43,-10.4544,161.9205,84.13,72,70,9.13
217,Baykit,RU,2021-07-23 01:39:44,61.67,96.37,72.82,49,50,2.68
218,Ylivieska,FI,2021-07-23 01:39:44,64.0833,24.55,60.31,77,95,4.25
219,Cabo San Lucas,MX,2021-07-23 01:39:44,22.8909,-109.9124,96.51,51,1,9.22
220,Manaure,CO,2021-07-23 01:39:45,11.7751,-72.4445,80.37,78,70,19.01
221,Esperance,AU,2021-07-23 01:39:45,-33.8667,121.9,55.24,60,91,25.84
222,Smoky Lake,CA,2021-07-23 01:39:46,54.1169,-112.4686,57.78,76,88,6.91
223,Caranavi,BO,2021-07-23 01:39:46,-15.8167,-67.55,59.23,86,0,2.86
224,Avera,US,2021-07-23 01:39:46,33.194,-82.5271,82.71,76,54,3.65
225,Champerico,GT,2021-07-23 01:39:47,14.3,-91.9167,83.35,81,67,6.35
226,Ugoofaaru,MV,2021-07-23 01:39:47,5.6667,73.0,82.63,74,100,16.62
227,Alta Floresta,BR,2021-07-23 01:39:47,-9.8756,-56.0861,72.43,38,0,3.85
228,Ciudad Bolivar,VE,2021-07-23 01:39:48,8.1222,-63.5497,78.24,86,100,6.22
229,Lanxi,CN,2021-07-23 01:39:48,29.2195,119.477,84.67,73,30,10.83
230,Naifaru,MV,2021-07-23 01:39:49,5.4444,73.3657,82.11,76,97,16.93
231,Umm Kaddadah,SD,2021-07-23 01:39:49,13.6017,26.6876,82.06,56,78,10.47
232,Chake Chake,TZ,2021-07-23 01:39:49,-5.2459,39.7666,73.27,81,5,9.31
233,Zhanaozen,KZ,2021-07-23 01:39:50,43.3,52.8,87.73,20,95,7.56
234,Alpena,US,2021-07-23 01:39:50,45.0617,-83.4327,68.14,88,90,3.44
235,Guerrero Negro,MX,2021-07-23 01:39:51,27.9769,-114.0611,72.81,75,100,14.63
236,Linqing,CN,2021-07-23 01:39:51,36.8456,115.7117,75.97,84,100,2.8
237,Ust-Nera,RU,2021-07-23 01:39:51,64.5667,143.2,57.25,88,100,3.8
238,Wanning,CN,2021-07-23 01:39:52,18.8003,110.3967,85.71,70,94,5.39
239,Honiara,SB,2021-07-23 01:37:10,-9.4333,159.95,84.07,75,63,6.53
240,Port Macquarie,AU,2021-07-23 01:39:52,-31.4333,152.9167,64.36,49,99,9.64
241,Kupang,ID,2021-07-23 01:39:52,-10.1667,123.5833,82.98,51,20,4.61
242,Ancud,CL,2021-07-23 01:39:53,-41.8697,-73.8203,46.22,83,100,7.11
243,Yar-Sale,RU,2021-07-23 01:39:53,66.8333,70.8333,54.5,57,100,8.46
244,Freeport,US,2021-07-23 01:35:32,40.6576,-73.5832,78.26,64,1,1.01
245,Komsomolskiy,UZ,2021-07-23 01:37:11,40.4272,71.7189,77.72,33,0,6.91
246,Lorengau,PG,2021-07-23 01:39:54,-2.0226,147.2712,85.05,70,65,7.31
247,Marche-En-Famenne,BE,2021-07-23 01:39:54,50.2,5.3333,58.78,95,0,4.12
248,Shenjiamen,CN,2021-07-23 01:39:55,29.9576,122.298,79.56,83,61,23.44
249,Lata,PT,2021-07-23 01:39:55,40.1629,-8.3327,60.06,96,99,0.72
250,Hasaki,JP,2021-07-23 01:39:55,35.7333,140.8333,88.29,68,84,7.45
251,Atbasar,KZ,2021-07-23 01:39:56,51.8,68.3333,71.94,44,9,6.67
252,Cururupu,BR,2021-07-23 01:36:31,-1.8283,-44.8683,73.58,94,0,2.75
253,Koumac,NC,2021-07-23 01:40:00,-20.5667,164.2833,75.63,62,0,6.96
254,Asyut,EG,2021-07-23 01:40:00,27.181,31.1837,86.18,49,0,7.4
255,Verkh-Usugli,RU,2021-07-23 01:40:01,52.7,115.1667,73.17,57,29,6.13
256,Ulverstone,AU,2021-07-23 01:36:23,-41.15,146.1667,52.2,81,85,1.01
